start_year,total_trials,completed,terminated,withdrawn,avg_enrollment,avg_duration,completion_rate,termination_rate
2015,1794,1515,202,24,241.0,40.9,84.4,11.3
2016,2357,1984,252,47,574.0,34.7,84.2,10.7
2017,4927,4085,519,135,406.0,30.6,82.9,10.5
2018,5280,4288,573,176,285.0,30.6,81.2,10.9
2019,5192,4087,589,178,386.0,28.8,78.7,11.3
2020,4936,3856,489,213,609.0,25.4,78.1,9.9
2021,5833,4524,527,206,558.0,23.2,77.6,9.0
2022,5179,3959,452,193,1428.0,20.0,76.4,8.7
2023,4570,3414,255,157,305.0,17.0,74.7,5.6
2024,3577,2534,119,139,1920.0,12.6,70.8,3.3
