therapeutic_area,total_trials,completed,terminated,withdrawn,avg_enrollment,avg_duration,completion_rate,termination_rate
Oncology,23100,12436,4095,1704,217.0,45.3,53.8,17.7
Psychiatry and Mental Health,11147,9252,757,478,315.0,23.8,83.0,6.8
Cardiovascular,9068,7113,770,484,1275.0,26.3,78.4,8.5
Metabolic and Endocrine,8599,7224,499,334,248.0,22.8,84.0,5.8
Pain and Anaesthesia,7409,6526,394,279,138.0,17.2,88.1,5.3
Healthy Volunteer Studies,7290,6745,260,134,95.0,10.4,92.5,3.6
Neurology,6388,5103,553,264,180.0,26.1,79.9,8.7
Respiratory,4907,3844,543,252,452.0,23.4,78.3,11.1
Musculoskeletal,4659,3740,359,221,166.0,26.3,80.3,7.7
Infectious Disease,4437,3615,332,208,1307.0,25.4,81.5,7.5
Vaccines,4420,3398,532,304,5644.0,16.6,76.9,12.0
Gastroenterology and Renal,4095,3104,475,228,223.0,26.6,75.8,11.6
Dermatology,2680,2214,207,121,161.0,18.3,82.6,7.7
Ophthalmology,2309,1885,181,91,156.0,20.5,81.6,7.8
Oral Health,1996,1788,46,34,104.0,20.8,89.6,2.3
Obstetrics and Gynaecology,1513,1263,118,54,522.0,24.3,83.5,7.8
Urology,777,603,74,50,150.0,22.3,77.6,9.5
